               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.017076,            0.027053,          0.00038349,             0.90538,              0.9232,             0.90333,             0.57077,            0.033869,             0.08323,          0.00055589,           0.0041768,           0.0041768,           0.0041768
                 121,            0.017023,            0.025921,           0.0003391,              0.9128,             0.89942,             0.90272,             0.59316,            0.033495,            0.087022,            0.000538,           0.0041094,           0.0041094,           0.0041094
                 122,            0.016893,            0.027356,          0.00060419,             0.89355,             0.91522,             0.89951,             0.58194,             0.03365,            0.090645,          0.00052478,           0.0040424,           0.0040424,           0.0040424
                 123,            0.016548,            0.027172,          0.00032477,             0.90472,             0.92033,             0.91192,             0.59037,            0.033387,            0.085296,            0.000553,           0.0039757,           0.0039757,           0.0039757
                 124,            0.016384,            0.027015,          0.00027221,             0.90705,             0.92096,             0.91433,             0.60754,            0.033548,            0.085995,          0.00052891,           0.0039094,           0.0039094,           0.0039094
                 125,            0.016825,            0.026182,          0.00031274,             0.90755,             0.92026,             0.91693,             0.58684,            0.033492,            0.084899,          0.00062582,           0.0038434,           0.0038434,           0.0038434
                 126,            0.016172,            0.025911,          0.00032516,             0.89735,             0.92499,             0.90203,             0.56232,            0.033404,            0.088396,          0.00062875,           0.0037779,           0.0037779,           0.0037779
                 127,            0.016078,            0.026223,          0.00032548,               0.905,             0.90958,             0.89961,             0.60368,            0.033725,            0.089523,          0.00067454,           0.0037128,           0.0037128,           0.0037128
                 128,             0.01607,             0.02649,          0.00023256,             0.89963,             0.92249,             0.90419,             0.60035,            0.033486,            0.090598,          0.00056087,           0.0036482,           0.0036482,           0.0036482
                 129,             0.01559,            0.026259,           0.0002535,              0.9075,              0.9152,             0.90924,             0.59796,            0.033739,            0.088875,          0.00049997,            0.003584,            0.003584,            0.003584
                 130,            0.015824,            0.026504,          0.00026564,             0.91132,              0.9142,             0.90733,             0.57839,            0.033949,            0.086911,          0.00053014,           0.0035203,           0.0035203,           0.0035203
                 131,            0.016099,            0.025888,          0.00035441,             0.90334,             0.92228,             0.90892,             0.58621,            0.033622,            0.086027,           0.0004798,            0.003457,            0.003457,            0.003457
                 132,            0.016235,            0.026254,           0.0003694,             0.90158,             0.92657,             0.91053,             0.59146,            0.033485,            0.085107,          0.00050995,           0.0033943,           0.0033943,           0.0033943
                 133,            0.016037,            0.026149,           0.0005969,             0.91868,              0.9142,             0.91776,             0.59432,            0.033674,            0.084295,          0.00046681,           0.0033321,           0.0033321,           0.0033321
                 134,            0.015256,            0.025183,          0.00047397,             0.91505,             0.92592,             0.92022,             0.57952,            0.033643,            0.084961,          0.00049609,           0.0032704,           0.0032704,           0.0032704
                 135,            0.015049,            0.026025,          0.00031189,             0.91321,             0.93002,             0.92174,             0.59737,             0.03349,            0.085505,          0.00043344,           0.0032093,           0.0032093,           0.0032093
                 136,             0.01548,            0.025205,          0.00044687,             0.90259,             0.93331,             0.91446,             0.59986,            0.033598,            0.087066,           0.0004448,           0.0031488,           0.0031488,           0.0031488
                 137,             0.01524,            0.024609,           0.0004283,             0.91294,             0.92822,             0.91719,             0.59956,            0.033605,            0.087501,          0.00047139,           0.0030888,           0.0030888,           0.0030888
                 138,            0.014735,            0.024785,          0.00025215,             0.90081,             0.93844,             0.91754,             0.60281,            0.033893,             0.08753,          0.00048674,           0.0030294,           0.0030294,           0.0030294
                 139,            0.015523,            0.024238,          0.00040065,             0.90255,             0.93348,             0.92143,             0.58788,            0.033914,            0.086389,           0.0004409,           0.0029706,           0.0029706,           0.0029706
                 140,            0.014821,            0.025155,          0.00034336,             0.91165,             0.93623,             0.92844,             0.60823,            0.033707,            0.085521,          0.00041777,           0.0029125,           0.0029125,           0.0029125
                 141,            0.014521,            0.023144,          0.00028007,             0.92099,             0.93251,             0.93338,             0.61607,            0.033712,            0.088774,          0.00041487,            0.002855,            0.002855,            0.002855
                 142,             0.01506,            0.025004,          0.00026566,             0.91403,             0.93456,             0.92285,             0.60278,            0.033468,             0.08979,          0.00037258,           0.0027981,           0.0027981,           0.0027981
                 143,            0.014853,            0.024831,          0.00027566,             0.90259,             0.94094,             0.91801,             0.60339,            0.033575,            0.089507,           0.0003437,           0.0027419,           0.0027419,           0.0027419
                 144,            0.014622,            0.025167,          0.00023989,             0.90172,             0.93437,             0.91474,             0.62168,            0.033249,            0.086813,          0.00034412,           0.0026864,           0.0026864,           0.0026864
                 145,             0.01436,            0.023864,          0.00066901,             0.91485,             0.91812,             0.92101,             0.62373,            0.033439,            0.086518,          0.00038643,           0.0026316,           0.0026316,           0.0026316
                 146,            0.014499,            0.024612,          0.00023377,             0.90923,             0.92519,             0.91671,             0.61185,            0.033509,            0.086456,           0.0003589,           0.0025775,           0.0025775,           0.0025775
                 147,            0.014424,            0.025252,          0.00038045,             0.90499,             0.94051,               0.925,             0.61553,             0.03344,            0.087349,           0.0003818,           0.0025241,           0.0025241,           0.0025241
                 148,            0.014308,            0.024298,          0.00026831,              0.9094,             0.91906,             0.92134,             0.60824,            0.033196,            0.086418,          0.00037402,           0.0024714,           0.0024714,           0.0024714
                 149,            0.014637,            0.024981,          0.00019996,             0.90012,              0.9258,             0.91772,             0.59525,            0.033509,            0.086527,          0.00040467,           0.0024195,           0.0024195,           0.0024195
                 150,            0.014581,            0.024623,          0.00026839,             0.92307,             0.91655,             0.92329,             0.60943,            0.033435,            0.087283,          0.00033996,           0.0023684,           0.0023684,           0.0023684
                 151,            0.014164,            0.022927,          0.00025044,             0.91738,             0.92286,             0.92879,             0.60684,              0.0332,            0.089389,          0.00034627,            0.002318,            0.002318,            0.002318
                 152,            0.014454,            0.024138,          0.00039604,              0.9153,             0.92044,             0.92086,             0.59738,            0.033413,            0.091435,          0.00034967,           0.0022684,           0.0022684,           0.0022684
                 153,            0.014208,            0.024876,          0.00021873,             0.91699,             0.92849,              0.9182,             0.58707,             0.03327,            0.091393,          0.00032331,           0.0022196,           0.0022196,           0.0022196
